OBS,MAKE,MODEL,TIME,SPEED,WEIGHT,HP
1,Audi,TT Roadster,8.9,133,1335,150
2,Mini,Cooper S,7.4,134,1240,168
3,Volvo,C70 T5 Sport,7.4,150,1711,220
4,Saab,Nine-Three,7.9,149,1680,247
5,Mercedes-Benz,SL350,6.6,155,1825,268
6,Jaguar,XK8,6.7,154,1703,290
7,Bugatti,Veyron 16.4,2.4,253,1950,1000
8,Lotus,Exige,4.9,147,875,189
9,BMW,M3 (E30),6.7,144,1257,220
10,BMW,330i Sport,5.9,155,1510,231
11,Porsche,Cayman S,5.3,171,1350,291
12,Nissan,Skyline GT-R (R34),4.7,165,1560,276
13,Porsche,911 RS,4.7,172,1270,300
14,Ford,Shelby GT,5,150,1584,319
15,Mitsubishi,Evo VII RS Sprint,4.4,150,1260,320
16,Aston Martin,V8 Vantage,5.2,175,1630,380
17,Mercedes-Benz,SLK55 AMG,4.8,155,1540,355
18,Maserati,Quattroporte Sport GT,5.1,171,1930,394
19,Spyker,C8,4.5,187,1275,400
20,Ferrari,288GTO,4.9,189,1161,400
21,Mosler,MT900,3.9,190,1130,435
22,Lamborghini,Countach QV,4.9,180,1447,455
23,Chrysler,Viper GTS-R,4,190,1290,460
24,Bentley,Arnage T,5.2,179,2585,500
25,Ferrari,430 Scuderia,3.5,198,1350,503
26,Saleen,S7,3.3,240,1247,550
27,Lamborghini,Murcielago,4,205,1650,570
28,Pagani,Zonda F,3.6,214,1230,602
29,McLaren,F1,3.2,240,1140,627
30,Koenigsegg,CCR,3.2,242,1180,806